4    K, #genre#
CCTV14 少儿,http://223.112.176.74:8833/TVOD/5000000004000006673/bestzb/index.m3u8
CCTV14 少儿,http://223.112.176.74:8833/TVOD/1000000001000008170/ystenlive/index.m3u8
CCTV14 少儿,http://223.112.176.74:8833/TVOD/1000000005000265013/ystenlive/index.m3u8
CCTV14 少儿,http://223.112.176.74:8833/TVOD/5000000010000023358/bestzb/index.m3u8
CCTV14 少儿,http://223.112.176.74:8833/TVOD/1000000001000021349/ystenlive/index.m3u8
CCTV15 音乐,http://223.112.176.74:8833/TVOD/5000000011000031109/bestzb/index.m3u8
CCTV15 音乐,http://223.112.176.74:8833/TVOD/1000000005000265014/ystenlive/index.m3u8
CCTV15 音乐,http://223.112.176.74:8833/TVOD/1000000002000008163/ystenlive/index.m3u8
CCTV16 奥林匹克,http://223.112.176.74:8833/TVOD/1000000006000233002/ystenlive/index.m3u8
CCTV16 奥林匹克,http://223.112.176.74:8833/TVOD/5000000008000023253/bestzb/index.m3u8
CCTV16 奥林匹克,http://223.112.176.74:8833/TVOD/1000000006000233001/ystenlive/index.m3u8
CCTV17 农业农村,http://223.112.176.74:8833/TVOD/1000000006000268004/ystenlive/index.m3u8
CCTV17 农业农村,http://223.112.176.74:8833/TVOD/1000000005000265015/ystenlive/index.m3u8
CCTV17 农业农村,http://223.112.176.74:8833/TVOD/1000000005000056836/ystenlive/index.m3u8
央视台球,http://183.188.20.37:6000/rtp/226.0.2.216:9640
高尔夫网球,http://183.188.20.37:6000/rtp/226.0.2.217:9648
电视指南,http://183.188.20.37:6000/rtp/226.0.2.218:9656
央视文化精品,http://183.188.20.37:6000/rtp/226.0.2.219:9664
风云音乐,http://183.188.20.37:6000/rtp/226.0.2.220:9672
第一剧场,http://183.188.20.37:6000/rtp/226.0.2.221:9680
世界地理,http://183.188.20.37:6000/rtp/226.0.2.222:9688
兵器科技,http://183.188.20.37:6000/rtp/226.0.2.223:9696
怀旧剧场,http://183.188.20.37:6000/rtp/226.0.2.224:9704
风云足球,http://183.188.20.37:6000/rtp/226.0.2.225:9712
女性时尚,http://183.188.20.37:6000/rtp/226.0.2.226:9720
风云剧场,http://183.188.20.37:6000/rtp/226.0.2.227:9728
央视台球,http://171.119.207.125:6000/rtp/226.0.2.216:9640
高尔夫网球,http://171.119.207.125:6000/rtp/226.0.2.217:9648
电视指南,http://171.119.207.125:6000/rtp/226.0.2.218:9656
央视文化精品,http://171.119.207.125:6000/rtp/226.0.2.219:9664
风云音乐,http://171.119.207.125:6000/rtp/226.0.2.220:9672
第一剧场,http://171.119.207.125:6000/rtp/226.0.2.221:9680
世界地理,http://171.119.207.125:6000/rtp/226.0.2.222:9688
兵器科技,http://171.119.207.125:6000/rtp/226.0.2.223:9696
怀旧剧场,http://171.119.207.125:6000/rtp/226.0.2.224:9704
风云足球,http://171.119.207.125:6000/rtp/226.0.2.225:9712
女性时尚,http://171.119.207.125:6000/rtp/226.0.2.226:9720
风云剧场,http://171.119.207.125:6000/rtp/226.0.2.227:9728
卫     视,#genre#
凤凰中文,http://cdn.163189.xyz/live/fhzw/stream.m3u8
凤凰中文,http://syswareonline.com:7088/udp/239.93.0.162:2192
凤凰中文,http://35s34p3903.zicp.vip:6688/udp/239.93.0.162:2192
凤凰资讯,http://cdn3.163189.xyz/live/fhzx/stream.m3u8
凤凰资讯,http://syswareonline.com:7088/udp/239.93.0.118:2191
凤凰资讯,http://35s34p3903.zicp.vip:6688/udp/239.93.0.118:2191
吉林延边卫视,http://223.112.176.74:8833/TVOD/2000000003000000049/hnbblive/index.m3u8
吉林延边卫视,http://223.112.176.74:8833/TVOD/1000000005000266008/ystenlive/index.m3u8
北京卫视,http://223.112.176.74:8833/TVOD/6000000001000020451/wasusyt/index.m3u8
北京卫视,http://223.112.176.74:8833/TVOD/1000000001000021288/ystenlive/index.m3u8
北京卫视,http://223.112.176.74:8833/TVOD/5000000004000031556/bestzb/index.m3u8
北京卫视,http://223.112.176.74:8833/TVOD/1000000005000265027/ystenlive/index.m3u8
北京卫视,http://223.112.176.74:8833/TVOD/5000000010000011502/bestzb/index.m3u8
北京卫视,http://223.112.176.74:8833/TVOD/1000000001000017156/ystenlive/index.m3u8
黑龙江卫视,http://223.112.176.74:8833/TVOD/6000000001000016510/wasusyt/index.m3u8
黑龙江卫视,http://223.112.176.74:8833/TVOD/1000000001000001925/ystenlive/index.m3u8
黑龙江卫视,http://223.112.176.74:8833/TVOD/5000000004000025203/bestzb/index.m3u8
黑龙江卫视,http://223.112.176.74:8833/TVOD/1000000005000265029/ystenlive/index.m3u8
黑龙江卫视,http://223.112.176.74:8833/TVOD/5000000010000031107/bestzb/index.m3u8
黑龙江卫视,http://223.112.176.74:8833/TVOD/1000000001000009082/ystenlive/index.m3u8
江苏卫视,http://223.112.176.74:8833/TVOD/6000000001000014861/wasusyt/index.m3u8
江苏卫视,http://223.112.176.74:8833/TVOD/1000000001000001828/ystenlive/index.m3u8
江苏卫视,http://223.112.176.74:8833/TVOD/5000000004000019351/bestzb/index.m3u8
江苏卫视,http://223.112.176.74:8833/TVOD/1000000005000265030/ystenlive/index.m3u8
江苏卫视,http://223.112.176.74:8833/TVOD/5000000010000018509/bestzb/index.m3u8
江苏卫视,http://223.112.176.74:8833/TVOD/1000000001000004684/ystenlive/index.m3u8
安徽卫视,http://140.238.2.76:5000/TVOD/6000000001000009954/wasusyt/index.m3u8
安徽卫视,http://223.112.176.74:8833/TVOD/1000000001000030159/ystenlive/index.m3u8
安徽卫视,http://223.112.176.74:8833/TVOD/5000000004000023002/bestzb/index.m3u8
安徽卫视,http://223.112.176.74:8833/TVOD/1000000005000265025/ystenlive/index.m3u8
安徽卫视,http://223.112.176.74:8833/TVOD/5000000001000027288/bestzb/index.m3u8
安徽卫视,http://223.112.176.74:8833/TVOD/1000000001000020780/ystenlive/index.m3u8
山东卫视,http://223.112.176.74:8833/TVOD/6000000001000004134/wasusyt/index.m3u8
山东卫视,http://223.112.176.74:8833/TVOD/1000000001000016568/ystenlive/index.m3u8
山东卫视,http://223.112.176.74:8833/TVOD/5000000004000020424/bestzb/index.m3u8
山东卫视,http://223.112.176.74:8833/TVOD/1000000005000265019/ystenlive/index.m3u8
山东卫视,http://223.112.176.74:8833/TVOD/5000000010000027763/bestzb/index.m3u8
山东卫视,http://223.112.176.74:8833/TVOD/1000000001000012807/ystenlive/index.m3u8
天津卫视,http://223.112.176.74:8833/TVOD/6000000001000009186/wasusyt/index.m3u8
天津卫视,http://223.112.176.74:8833/TVOD/5000000004000006827/bestzb/index.m3u8
天津卫视,http://223.112.176.74:8833/TVOD/1000000001000003475/ystenlive/index.m3u8
天津卫视,http://223.112.176.74:8833/TVOD/1000000005000265026/ystenlive/index.m3u8
天津卫视,http://223.112.176.74:8833/TVOD/5000000001000030788/bestzb/index.m3u8
天津卫视,http://223.112.176.74:8833/TVOD/1000000001000000831/ystenlive/index.m3u8
广东卫视,http://223.112.176.74:8833/TVOD/6000000001000031076/wasusyt/index.m3u8
广东卫视,http://223.112.176.74:8833/TVOD/5000000004000014694/bestzb/index.m3u8
广东卫视,http://223.112.176.74:8833/TVOD/1000000001000014176/ystenlive/index.m3u8
广东卫视,http://223.112.176.74:8833/TVOD/1000000005000265034/ystenlive/index.m3u8
广东卫视,http://223.112.176.74:8833/TVOD/5000000010000030417/bestzb/index.m3u8
广东卫视,http://223.112.176.74:8833/TVOD/1000000001000028357/ystenlive/index.m3u8
湖北卫视,http://223.112.176.74:8833/TVOD/6000000001000015436/wasusyt/index.m3u8
湖北卫视,http://223.112.176.74:8833/TVOD/1000000001000024621/ystenlive/index.m3u8
湖北卫视,http://223.112.176.74:8833/TVOD/5000000004000014954/bestzb/index.m3u8
湖北卫视,http://223.112.176.74:8833/TVOD/1000000005000265023/ystenlive/index.m3u8
湖北卫视,http://223.112.176.74:8833/TVOD/5000000010000022140/bestzb/index.m3u8
湖北卫视,http://223.112.176.74:8833/TVOD/1000000001000010355/ystenlive/index.m3u8
东方卫视,http://223.112.176.74:8833/TVOD/6000000001000003639/wasusyt/index.m3u8
东方卫视,http://223.112.176.74:8833/TVOD/5000000004000014098/bestzb/index.m3u8
东方卫视,http://223.112.176.74:8833/TVOD/1000000001000005866/ystenlive/index.m3u8
东方卫视,http://223.112.176.74:8833/TVOD/1000000005000265018/ystenlive/index.m3u8
东方卫视,http://223.112.176.74:8833/TVOD/5000000010000032246/bestzb/index.m3u8
东方卫视,http://223.112.176.74:8833/TVOD/1000000001000030202/ystenlive/index.m3u8
东方卫视,http://223.112.176.74:8833/TVOD/2000000002000000056/hnbblive/index.m3u8
浙江卫视,http://223.112.176.74:8833/TVOD/6000000001000032070/wasusyt/index.m3u8
浙江卫视,http://223.112.176.74:8833/TVOD/5000000004000007275/bestzb/index.m3u8
浙江卫视,http://223.112.176.74:8833/TVOD/1000000001000014260/ystenlive/index.m3u8
浙江卫视,http://223.112.176.74:8833/TVOD/1000000005000265031/ystenlive/index.m3u8
浙江卫视,http://223.112.176.74:8833/TVOD/5000000010000017320/bestzb/index.m3u8
浙江卫视,http://223.112.176.74:8833/TVOD/1000000001000009806/ystenlive/index.m3u8
深圳卫视,http://223.112.176.74:8833/TVOD/6000000001000002116/wasusyt/index.m3u8
深圳卫视,http://223.112.176.74:8833/TVOD/5000000004000007410/bestzb/index.m3u8
深圳卫视,http://223.112.176.74:8833/TVOD/1000000001000009227/ystenlive/index.m3u8
深圳卫视,http://223.112.176.74:8833/TVOD/1000000005000265028/ystenlive/index.m3u8
深圳卫视,http://223.112.176.74:8833/TVOD/5000000010000024026/bestzb/index.m3u8
深圳卫视,http://223.112.176.74:8833/TVOD/1000000001000011645/ystenlive/index.m3u8
湖南卫视,http://223.112.176.74:8833/TVOD/6000000001000018044/wasusyt/index.m3u8
湖南卫视,http://223.112.176.74:8833/TVOD/5000000004000006692/bestzb/index.m3u8
湖南卫视,http://223.112.176.74:8833/TVOD/1000000001000032695/ystenlive/index.m3u8
湖南卫视,http://223.112.176.74:8833/TVOD/1000000005000265024/ystenlive/index.m3u8
湖南卫视,http://223.112.176.74:8833/TVOD/5000000010000030452/bestzb/index.m3u8
湖南卫视,http://223.112.176.74:8833/TVOD/1000000001000009115/ystenlive/index.m3u8
广西卫视,http://223.112.176.74:8833/TVOD/1000000002000019837/ystenlive/index.m3u8
广西卫视,http://223.112.176.74:8833/TVOD/5000000006000040014/bestzb/index.m3u8
贵州卫视,http://223.112.176.74:8833/TVOD/5000000004000025843/bestzb/index.m3u8
贵州卫视,http://223.112.176.74:8833/TVOD/1000000002000003169/ystenlive/index.m3u8
海南卫视,http://223.112.176.74:8833/TVOD/5000000004000006211/bestzb/index.m3u8
海南卫视,http://223.112.176.74:8833/TVOD/1000000002000023773/ystenlive/index.m3u8
河北卫视,http://223.112.176.74:8833/TVOD/5000000006000040016/bestzb/index.m3u8
河北卫视,http://223.112.176.74:8833/TVOD/1000000002000017118/ystenlive/index.m3u8
河南卫视,http://223.112.176.74:8833/TVOD/5000000011000031119/bestzb/index.m3u8
河南卫视,http://223.112.176.74:8833/TVOD/1000000002000027731/ystenlive/index.m3u8
河南卫视,http://223.112.176.74:8833/TVOD/5000000005000017925/bestzb/index.m3u8
江西卫视,http://223.112.176.74:8833/TVOD/1000000006000268001/ystenlive/index.m3u8
江西卫视,http://223.112.176.74:8833/TVOD/5000000004000011210/bestzb/index.m3u8
江西卫视,http://223.112.176.74:8833/TVOD/1000000005000265032/ystenlive/index.m3u8
江西卫视,http://223.112.176.74:8833/TVOD/5000000001000032154/bestzb/index.m3u8
江西卫视,http://223.112.176.74:8833/TVOD/1000000001000013731/ystenlive/index.m3u8
辽宁卫视,http://223.112.176.74:8833/TVOD/5000000004000011671/bestzb/index.m3u8
辽宁卫视,http://223.112.176.74:8833/TVOD/1000000001000001945/ystenlive/index.m3u8
辽宁卫视,http://223.112.176.74:8833/TVOD/1000000005000265022/ystenlive/index.m3u8
辽宁卫视,http://223.112.176.74:8833/TVOD/5000000001000008940/bestzb/index.m3u8
辽宁卫视,http://223.112.176.74:8833/TVOD/1000000002000024033/ystenlive/index.m3u8
重庆卫视,http://223.112.176.74:8833/TVOD/1000000001000001096/ystenlive/index.m3u8
重庆卫视,http://223.112.176.74:8833/TVOD/5000000004000025797/bestzb/index.m3u8
重庆卫视,http://223.112.176.74:8833/TVOD/1000000005000265017/ystenlive/index.m3u8
重庆卫视,http://223.112.176.74:8833/TVOD/1000000002000018937/ystenlive/index.m3u8
